student_id,name,age,education_level,total_enrollments,completed_courses,active_courses,dropped_courses,completion_rate,total_modules_attempted,modules_completed,avg_time_per_module,total_study_hours,avg_progress_percentage,module_completion_rate,total_assessments,avg_score,max_score,min_score,assessments_passed,pass_rate,risk_level
STU00176,Ricardo Ellis,45,High School,3,1,1,1,33.33,17,11,6.17,104.94,53.59,64.71,20,67.6,92,44,13,65.0,Medium
STU00180,Brian Murphy,43,Master,3,1,1,1,33.33,16,9,4.73,75.65,34.25,56.25,23,63.04,89,32,20,86.96,Medium
STU00188,Michelle Ho,35,Master,3,1,2,0,33.33,20,12,5.0,99.91,41.4,60.0,26,74.85,93,52,19,73.08,Medium
STU00191,Joanna Frazier,26,High School,3,1,2,0,33.33,22,14,6.29,138.35,44.32,63.64,23,69.96,97,30,19,82.61,Medium
STU00196,Marilyn Wang,29,Master,3,1,2,0,33.33,21,16,5.22,109.53,47.05,76.19,31,67.06,100,30,28,90.32,Medium
STU00220,Joshua Hickman,26,PhD,3,1,1,1,33.33,15,6,4.45,66.77,42.47,40.0,12,67.25,88,45,8,66.67,Medium
STU00223,Tonya Howe,20,High School,3,1,1,1,33.33,16,6,4.87,77.97,48.69,37.5,12,63.42,89,43,9,75.0,Medium
STU00263,Thomas Cohen,21,High School,3,1,1,1,33.33,12,4,4.53,54.38,54.25,33.33,8,64.88,91,37,5,62.5,Medium
STU00268,Angelica Montgomery,23,High School,3,1,2,0,33.33,19,12,4.93,93.63,46.21,63.16,23,67.0,99,30,16,69.57,Medium
STU00273,Mr. David Wright,39,Bachelor,3,1,2,0,33.33,17,7,4.71,80.1,52.29,41.18,12,69.83,92,44,9,75.0,Medium
STU00274,James Skinner,32,Master,3,1,0,2,33.33,9,6,4.53,40.8,53.22,66.67,12,72.08,99,30,11,91.67,Medium
STU00278,Julia Erickson,40,High School,3,1,2,0,33.33,17,9,4.86,82.57,39.47,52.94,19,65.63,98,35,15,78.95,Medium
STU00286,Ashley Sweeney,28,PhD,3,1,2,0,33.33,22,12,4.68,102.98,55.68,54.55,22,70.18,98,30,17,77.27,Medium
STU00292,Bruce Brooks,20,High School,3,1,2,0,33.33,19,10,4.43,84.09,45.74,52.63,19,65.95,99,35,16,84.21,Medium
STU00298,Ronald Potter,38,PhD,3,1,1,1,33.33,13,10,6.39,83.12,54.77,76.92,18,64.28,100,30,14,77.78,Medium
STU00314,Carly Bell,44,Master,3,1,1,1,33.33,14,11,4.82,67.47,46.93,78.57,20,70.5,98,31,17,85.0,Medium
STU00323,Logan Brown,34,High School,3,1,2,0,33.33,19,14,5.21,99.04,34.32,73.68,24,69.83,99,32,21,87.5,Medium
STU00328,Cassidy Horne,22,Master,3,1,2,0,33.33,19,13,5.22,99.17,61.89,68.42,30,72.23,99,35,26,86.67,Medium
STU00340,Cindy Gates,31,PhD,3,1,1,1,33.33,16,10,3.9,62.37,43.5,62.5,22,66.09,88,32,17,77.27,Medium
STU00347,Juan Brown,18,Master,3,1,1,1,33.33,19,11,5.3,100.72,45.0,57.89,26,66.23,98,31,20,76.92,Medium
STU00348,Zachary Stephens,28,High School,3,1,2,0,33.33,20,10,3.75,75.05,35.45,50.0,21,70.62,99,31,18,85.71,Medium
STU00352,Timothy Frey,31,Master,3,1,2,0,33.33,19,10,6.03,114.5,53.68,52.63,22,64.86,88,33,18,81.82,Medium
STU00353,Michele Bell,29,Master,3,1,1,1,33.33,13,10,4.73,61.54,50.54,76.92,21,58.86,100,31,14,66.67,Medium
STU00357,Chad Moore,31,Bachelor,3,1,2,0,33.33,20,12,3.41,68.17,46.8,60.0,23,64.91,98,41,20,86.96,Medium
STU00359,Christopher Smith,39,PhD,3,1,2,0,33.33,19,11,4.81,91.38,51.63,57.89,22,63.68,99,33,19,86.36,Medium
STU00383,Rick Jones,38,Master,3,1,2,0,33.33,12,10,5.19,62.32,47.5,83.33,16,69.5,95,32,11,68.75,Medium
STU00398,Mark Carpenter,27,Bachelor,3,1,1,1,33.33,14,5,5.3,74.13,41.64,35.71,9,81.0,93,54,7,77.78,Medium
STU00401,Donald Juarez,37,High School,3,1,2,0,33.33,14,8,4.85,67.91,42.79,57.14,17,71.0,91,39,14,82.35,Medium
STU00403,Frank Whitaker,39,High School,3,1,2,0,33.33,15,6,5.58,83.73,47.27,40.0,10,68.4,96,30,9,90.0,Medium
STU00418,Thomas Webb,19,PhD,3,1,1,1,33.33,14,11,4.4,61.65,47.07,78.57,26,66.35,98,40,22,84.62,Medium
STU00430,Michelle Rodriguez,26,Bachelor,3,1,1,1,33.33,19,13,4.96,94.22,52.89,68.42,23,71.0,100,35,19,82.61,Medium
STU00438,Kelly Johnson,34,High School,3,1,1,1,33.33,13,9,6.33,82.24,53.0,69.23,16,62.0,98,37,14,87.5,Medium
STU00468,Patricia Lewis,39,Master,3,1,2,0,33.33,23,10,4.99,114.73,46.91,43.48,23,74.48,100,45,16,69.57,Medium
STU00480,Willie Dillon,34,High School,3,1,2,0,33.33,18,11,5.57,100.2,57.11,61.11,21,64.76,99,31,18,85.71,Medium
STU00481,Lisa Dixon,43,Bachelor,3,1,2,0,33.33,13,7,4.75,61.78,35.85,53.85,19,66.95,96,30,15,78.95,Medium
STU00038,Amanda Howard,22,Bachelor,5,2,1,2,40.0,25,10,4.81,120.29,45.68,40.0,19,70.79,94,34,15,78.95,Medium
STU00042,Courtney Keller,41,High School,5,2,3,0,40.0,34,24,4.64,157.91,52.88,70.59,44,65.07,94,37,36,81.82,Medium
STU00050,Eric Drake,18,High School,5,2,2,1,40.0,27,14,4.85,131.02,49.93,51.85,31,72.48,98,40,24,77.42,Medium
STU00053,Sylvia Martinez,24,Bachelor,5,2,2,1,40.0,28,18,4.49,125.77,50.04,64.29,40,68.5,98,36,32,80.0,Medium
STU00089,Julie Pearson,44,High School,5,2,2,1,40.0,32,19,5.82,186.3,56.69,59.38,37,68.7,98,33,31,83.78,Medium
STU00091,Robin Pierce,41,PhD,5,2,3,0,40.0,24,15,5.06,121.47,53.42,62.5,31,69.29,100,33,25,80.65,Medium
STU00105,Michael Berger,39,PhD,5,2,3,0,40.0,33,19,5.04,166.35,49.06,57.58,42,68.93,100,34,34,80.95,Medium
STU00163,Cheyenne Gregory,32,Master,5,2,2,1,40.0,25,13,5.9,147.54,48.04,52.0,22,70.45,99,43,18,81.82,Medium
STU00172,Chelsea Barnett,45,PhD,5,2,1,2,40.0,24,15,4.78,114.77,50.63,62.5,34,64.32,100,32,28,82.35,Medium
STU00221,Erica Brewer,20,High School,5,2,2,1,40.0,26,15,5.79,150.57,60.27,57.69,28,67.68,99,31,20,71.43,Medium
STU00226,Levi Fowler,23,PhD,5,2,1,2,40.0,31,18,4.47,138.61,49.84,58.06,36,68.25,93,35,28,77.78,Medium
STU00233,Daniel Aguilar,31,Bachelor,5,2,2,1,40.0,28,17,4.58,128.13,48.71,60.71,33,66.42,100,31,30,90.91,Medium
STU00245,James Webster,26,Master,5,2,3,0,40.0,29,16,5.4,156.54,52.86,55.17,30,66.23,99,33,24,80.0,Medium
STU00258,Joseph Hill,33,Master,5,2,2,1,40.0,31,16,5.79,179.63,49.9,51.61,28,69.86,94,34,23,82.14,Medium
STU00262,Valerie Jacobson,25,High School,5,2,0,3,40.0,22,10,6.0,131.95,60.95,45.45,23,64.87,100,30,17,73.91,Medium
STU00276,Doris Neal,24,PhD,5,2,3,0,40.0,28,18,6.52,182.6,50.36,64.29,32,69.25,100,31,26,81.25,Medium
STU00277,Jenna Wilson,25,Master,5,2,2,1,40.0,33,20,4.94,162.9,36.58,60.61,38,63.66,96,33,34,89.47,Medium
STU00281,Margaret Miller,25,Bachelor,5,2,2,1,40.0,27,16,5.51,148.71,53.93,59.26,31,70.74,93,31,24,77.42,Medium
STU00306,Joseph Robinson,32,Bachelor,5,2,2,1,40.0,27,13,5.9,159.23,51.93,48.15,24,71.33,94,48,22,91.67,Medium
STU00313,Breanna Ayala,44,Bachelor,5,2,3,0,40.0,24,15,4.42,106.03,42.38,62.5,25,66.24,96,35,15,60.0,Medium
STU00320,Jennifer Mitchell,26,Bachelor,5,2,3,0,40.0,36,24,5.7,205.08,53.69,66.67,43,69.44,99,31,38,88.37,Medium
STU00364,Benjamin Singleton,41,Bachelor,5,2,2,1,40.0,27,13,5.97,161.26,51.3,48.15,26,69.54,100,35,20,76.92,Medium
STU00377,Charles Matthews,21,Master,5,2,2,1,40.0,26,14,3.48,90.43,51.81,53.85,26,66.73,94,31,19,73.08,Medium
STU00388,Richard Saunders,36,High School,5,2,1,2,40.0,25,13,5.33,133.16,39.84,52.0,25,63.36,100,31,19,76.0,Medium
STU00390,Joseph Hanson,37,Bachelor,5,2,3,0,40.0,29,18,5.49,159.07,54.62,62.07,34,69.09,100,35,24,70.59,Medium
STU00413,Travis Chan Jr.,37,PhD,5,2,2,1,40.0,31,20,6.0,186.07,49.1,64.52,47,66.91,99,35,37,78.72,Medium
STU00417,Rebecca Banks,23,Bachelor,5,2,2,1,40.0,33,17,4.53,149.64,55.55,51.52,28,68.71,97,36,23,82.14,Medium
STU00432,Kevin Glass,21,Bachelor,5,2,2,1,40.0,27,16,4.87,131.61,50.07,59.26,28,66.64,97,30,27,96.43,Medium
STU00434,Grant Phillips,21,High School,5,2,1,2,40.0,25,16,4.61,115.14,41.88,64.0,39,74.18,99,32,32,82.05,Medium
STU00448,Daniel Goodwin,19,Master,5,2,1,2,40.0,25,11,4.97,124.37,54.8,44.0,26,61.96,94,30,19,73.08,Medium
STU00452,Michael Ayala,21,PhD,5,2,2,1,40.0,31,18,6.21,192.52,36.74,58.06,33,72.33,100,34,25,75.76,Medium
STU00458,Kimberly Choi,21,Master,5,2,2,1,40.0,29,20,4.67,135.43,47.86,68.97,36,66.06,94,36,28,77.78,Medium
STU00462,Michael King,26,High School,5,2,1,2,40.0,25,17,4.91,122.87,47.52,68.0,33,73.58,98,52,29,87.88,Medium
STU00470,David Maynard,30,Master,5,2,3,0,40.0,38,26,4.29,163.08,49.61,68.42,52,69.79,99,30,44,84.62,Medium
STU00485,Robert Clarke,34,PhD,5,2,3,0,40.0,35,26,5.54,193.74,52.4,74.29,54,70.09,100,36,46,85.19,Medium
STU00496,Angie Hill,39,Master,5,2,3,0,40.0,31,22,6.24,193.29,43.68,70.97,42,58.43,100,31,35,83.33,Medium
STU00069,Sandra Zimmerman,24,Bachelor,2,1,1,0,50.0,14,6,3.99,55.84,66.07,42.86,9,59.11,78,31,8,88.89,Medium
STU00169,Bobby Scott,43,High School,2,1,0,1,50.0,12,3,4.7,56.38,48.92,25.0,9,62.22,84,34,8,88.89,Low
STU00177,Robert Kennedy,32,PhD,2,1,1,0,50.0,12,7,3.7,44.41,51.92,58.33,18,59.78,98,34,16,88.89,Medium
STU00179,Jonathan Glass MD,23,Bachelor,2,1,1,0,50.0,13,5,4.93,64.08,59.62,38.46,11,59.73,82,32,9,81.82,Medium
STU00238,William Davenport,27,High School,2,1,0,1,50.0,10,3,4.2,42.01,43.9,30.0,8,60.88,87,35,6,75.0,Low
STU00326,Amy Villarreal,33,PhD,2,1,1,0,50.0,12,7,5.36,64.37,43.0,58.33,15,59.6,90,33,9,60.0,Medium
STU00338,Lauren Moore,21,Master,2,1,1,0,50.0,13,7,5.84,75.95,48.92,53.85,16,59.25,89,31,12,75.0,Medium
STU00425,Matthew Garcia MD,25,Master,2,1,1,0,50.0,16,8,4.56,72.97,43.0,50.0,14,58.93,97,32,13,92.86,Medium
STU00476,David Robertson,23,PhD,4,2,2,0,50.0,29,10,4.71,136.58,47.45,34.48,18,72.17,100,30,17,94.44,Low
STU00308,Julia Martinez,19,Master,3,2,0,1,66.67,21,8,4.6,96.62,49.1,38.1,16,67.88,98,35,10,62.5,Low
STU00044,Brian Hamilton,26,PhD,1,1,0,0,100.0,8,4,5.2,41.57,56.13,50.0,8,58.5,86,30,5,62.5,Medium
STU00048,Jeffrey Carpenter,25,Master,1,1,0,0,100.0,8,3,5.39,43.09,47.0,37.5,6,76.0,90,52,5,83.33,Low
STU00131,Nicholas Edwards,42,Bachelor,1,1,0,0,100.0,8,3,5.48,43.88,31.88,37.5,7,67.71,98,35,6,85.71,Low
STU00157,Jenna Larson,26,PhD,1,1,0,0,100.0,8,3,5.54,44.31,41.13,37.5,4,68.25,96,51,2,50.0,Low
STU00178,Evelyn Martinez,28,PhD,1,1,0,0,100.0,8,2,4.66,37.3,52.13,25.0,5,66.0,90,50,2,40.0,Low
STU00437,John Duncan,36,Bachelor,1,1,0,0,100.0,8,3,4.64,37.14,45.38,37.5,6,74.17,86,68,4,66.67,Low
STU00454,Anthony Bauer,23,PhD,1,1,0,0,100.0,8,4,3.34,26.7,45.5,50.0,8,59.75,97,35,7,87.5,Medium
